Year,Country_Vehicle,value
1999,SE_TRN,7.1
1999,SI_BUS,16.7
1999,SI_CAR,80.8
1999,SI_TRN,2.5
2000,AT_BUS,11.0
2000,AT_CAR,79.2
2000,AT_TRN,9.8
2000,BE_BUS,10.8
2000,BE_CAR,83.0
2000,BE_TRN,6.3
2000,CH_BUS,5.2
2000,CH_CAR,81.1
2000,CH_TRN,13.7
2000,DE_BUS,7.1
2000,DE_CAR,85.2
2000,DE_TRN,7.7
2000,DK_BUS,14.0
2000,DK_CAR,77.5
2000,DK_TRN,8.5
2000,EL_BUS,25.1
2000,EL_CAR,72.8
2000,EL_TRN,2.2
2000,ES_BUS,13.5
2000,ES_CAR,81.0
2000,ES_TRN,5.4
2000,FI_BUS,11.5
2000,FI_CAR,83.4
2000,FI_TRN,5.1
2000,FR_BUS,5.3
2000,FR_CAR,86.1
2000,FR_TRN,8.6
2000,HU_BUS,25.0
2000,HU_CAR,62.1
2000,HU_TRN,12.9
2000,IE_BUS,16.2
2000,IE_CAR,80.6
2000,IE_TRN,3.2
2000,IT_BUS,10.9
2000,IT_CAR,83.3
2000,IT_TRN,5.8
2000,LU_BUS,9.5
2000,LU_CAR,85.5
2000,LU_TRN,5.1
2000,NL_BUS,4.6
2000,NL_CAR,86.0
2000,NL_TRN,9.4
2000,PL_BUS,15.4
2000,PL_CAR,72.8
2000,PL_TRN,11.7
2000,PT_BUS,13.6
2000,PT_CAR,81.7
2000,PT_TRN,4.6
2000,SE_BUS,8.6
2000,SE_CAR,83.8
2000,SE_TRN,7.5
2000,SI_BUS,14.3
2000,SI_CAR,82.9
2000,SI_TRN,2.9
2001,AT_BUS,10.9
2001,AT_CAR,79.4
2001,AT_TRN,9.7
2001,BE_BUS,11.0
2001,BE_CAR,82.6
2001,BE_TRN,6.4
2001,CH_BUS,5.2
2001,CH_CAR,80.6
2001,CH_TRN,14.2
2001,DE_BUS,6.9
2001,DE_CAR,85.5
2001,DE_TRN,7.6
2001,DK_BUS,14.0
2001,DK_CAR,77.1
2001,DK_TRN,8.9
2001,EL_BUS,23.8
2001,EL_CAR,74.3
2001,EL_TRN,1.9
2001,ES_BUS,13.7
2001,ES_CAR,80.8
2001,ES_TRN,5.5
2001,FI_BUS,11.3
2001,FI_CAR,83.8
2001,FI_TRN,4.8
2001,FR_BUS,4.9
2001,FR_CAR,86.6
2001,FR_TRN,8.5
2001,HU_BUS,24.9
2001,HU_CAR,61.7
2001,HU_TRN,13.4
2001,IE_BUS,16.1
2001,IE_CAR,80.5
2001,IE_TRN,3.3
2001,IT_BUS,11.1
2001,IT_CAR,83.1
2001,IT_TRN,5.8
2001,LU_BUS,9.7
2001,LU_CAR,85.2
2001,LU_TRN,5.1
2001,NL_BUS,4.7
2001,NL_CAR,85.9
2001,NL_TRN,9.4
2001,PL_BUS,14.7
2001,PL_CAR,74.7
2001,PL_TRN,10.6
2001,PT_BUS,12.6
2001,PT_CAR,82.8
2001,PT_TRN,4.5
2001,SE_BUS,8.3
2001,SE_CAR,83.8
2001,SE_TRN,7.9
2001,SI_BUS,13.6
2001,SI_CAR,83.5
2001,SI_TRN,2.9
2002,AT_BUS,10.9
2002,AT_CAR,79.4
2002,AT_TRN,9.7
2002,BE_BUS,11.7
2002,BE_CAR,81.9
2002,BE_TRN,6.5
2002,CH_BUS,5.1
2002,CH_CAR,80.1
2002,CH_TRN,14.8
