,STATISTIC,Statistic Label,TLIST(W1),Week,C03132V03784,Luas Line,UNIT,VALUE
278,TII03C01,Passenger Journeys,2020W40,2020 Week 40,2,Green line,Number,167033.0
279,TII03C01,Passenger Journeys,2020W41,2020 Week 41,-,All Luas lines,Number,350028.0
280,TII03C01,Passenger Journeys,2020W41,2020 Week 41,1,Red line,Number,174748.0
281,TII03C01,Passenger Journeys,2020W41,2020 Week 41,2,Green line,Number,175280.0
282,TII03C01,Passenger Journeys,2020W42,2020 Week 42,-,All Luas lines,Number,338183.0
283,TII03C01,Passenger Journeys,2020W42,2020 Week 42,1,Red line,Number,164088.0
284,TII03C01,Passenger Journeys,2020W42,2020 Week 42,2,Green line,Number,174095.0
285,TII03C01,Passenger Journeys,2020W43,2020 Week 43,-,All Luas lines,Number,283638.0
286,TII03C01,Passenger Journeys,2020W43,2020 Week 43,1,Red line,Number,145295.0
287,TII03C01,Passenger Journeys,2020W43,2020 Week 43,2,Green line,Number,138343.0
288,TII03C01,Passenger Journeys,2020W44,2020 Week 44,-,All Luas lines,Number,186287.0
289,TII03C01,Passenger Journeys,2020W44,2020 Week 44,1,Red line,Number,102521.0
290,TII03C01,Passenger Journeys,2020W44,2020 Week 44,2,Green line,Number,83766.0
291,TII03C01,Passenger Journeys,2020W45,2020 Week 45,-,All Luas lines,Number,227605.0
292,TII03C01,Passenger Journeys,2020W45,2020 Week 45,1,Red line,Number,118170.0
293,TII03C01,Passenger Journeys,2020W45,2020 Week 45,2,Green line,Number,109435.0
294,TII03C01,Passenger Journeys,2020W46,2020 Week 46,-,All Luas lines,Number,237979.0
295,TII03C01,Passenger Journeys,2020W46,2020 Week 46,1,Red line,Number,124527.0
296,TII03C01,Passenger Journeys,2020W46,2020 Week 46,2,Green line,Number,113452.0
297,TII03C01,Passenger Journeys,2020W47,2020 Week 47,-,All Luas lines,Number,244276.0
298,TII03C01,Passenger Journeys,2020W47,2020 Week 47,1,Red line,Number,129443.0
299,TII03C01,Passenger Journeys,2020W47,2020 Week 47,2,Green line,Number,114833.0
300,TII03C01,Passenger Journeys,2020W48,2020 Week 48,-,All Luas lines,Number,259772.0
301,TII03C01,Passenger Journeys,2020W48,2020 Week 48,1,Red line,Number,133829.0
302,TII03C01,Passenger Journeys,2020W48,2020 Week 48,2,Green line,Number,125944.0
303,TII03C01,Passenger Journeys,2020W49,2020 Week 49,-,All Luas lines,Number,394613.0
304,TII03C01,Passenger Journeys,2020W49,2020 Week 49,1,Red line,Number,195204.0
305,TII03C01,Passenger Journeys,2020W49,2020 Week 49,2,Green line,Number,199409.0
