Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2020 Week 13,"Bus, excluding Dublin Metro",143429.0
Passenger Journeys,2020 Week 13,Rail,77149.0
Passenger Journeys,2020 Week 13,"All public transport, excluding LUAS",814041.0
Passenger Journeys,2020 Week 14,Dublin Metro Bus,365560.0
Passenger Journeys,2020 Week 14,"Bus, excluding Dublin Metro",85598.0
Passenger Journeys,2020 Week 14,Rail,26302.0
Passenger Journeys,2020 Week 14,"All public transport, excluding LUAS",477460.0
Passenger Journeys,2020 Week 15,Dublin Metro Bus,374262.0
Passenger Journeys,2020 Week 15,"Bus, excluding Dublin Metro",91529.0
Passenger Journeys,2020 Week 15,Rail,23231.0
Passenger Journeys,2020 Week 15,"All public transport, excluding LUAS",489022.0
Passenger Journeys,2020 Week 16,Dublin Metro Bus,361266.0
Passenger Journeys,2020 Week 16,"Bus, excluding Dublin Metro",85871.0
Passenger Journeys,2020 Week 16,Rail,28071.0
Passenger Journeys,2020 Week 16,"All public transport, excluding LUAS",475208.0
Passenger Journeys,2020 Week 17,Dublin Metro Bus,408826.0
Passenger Journeys,2020 Week 17,"Bus, excluding Dublin Metro",100755.0
Passenger Journeys,2020 Week 17,Rail,32787.0
Passenger Journeys,2020 Week 17,"All public transport, excluding LUAS",542368.0
Passenger Journeys,2020 Week 18,Dublin Metro Bus,433369.0
Passenger Journeys,2020 Week 18,"Bus, excluding Dublin Metro",106193.0
Passenger Journeys,2020 Week 18,Rail,35354.0
Passenger Journeys,2020 Week 18,"All public transport, excluding LUAS",574916.0
Passenger Journeys,2020 Week 19,Dublin Metro Bus,449887.0
Passenger Journeys,2020 Week 19,"Bus, excluding Dublin Metro",110131.0
Passenger Journeys,2020 Week 19,Rail,38142.0
Passenger Journeys,2020 Week 19,"All public transport, excluding LUAS",598160.0
Passenger Journeys,2020 Week 20,Dublin Metro Bus,504279.0
Passenger Journeys,2020 Week 20,"Bus, excluding Dublin Metro",122686.0
Passenger Journeys,2020 Week 20,Rail,44431.0
Passenger Journeys,2020 Week 20,"All public transport, excluding LUAS",671396.0
Passenger Journeys,2020 Week 21,Dublin Metro Bus,631921.0
Passenger Journeys,2020 Week 21,"Bus, excluding Dublin Metro",149607.0
Passenger Journeys,2020 Week 21,Rail,69766.0
Passenger Journeys,2020 Week 21,"All public transport, excluding LUAS",851294.0
Passenger Journeys,2020 Week 22,Dublin Metro Bus,740034.0
Passenger Journeys,2020 Week 22,"Bus, excluding Dublin Metro",171072.0
Passenger Journeys,2020 Week 22,Rail,98967.0
Passenger Journeys,2020 Week 22,"All public transport, excluding LUAS",1010073.0
Passenger Journeys,2020 Week 23,Dublin Metro Bus,717292.0
Passenger Journeys,2020 Week 23,"Bus, excluding Dublin Metro",169871.0
Passenger Journeys,2020 Week 23,Rail,101021.0
Passenger Journeys,2020 Week 23,"All public transport, excluding LUAS",988184.0
